Mes,fecha,categoria,cuenta,cantidad,etiquetas,comentario,tipo_logico
2025-09,2025-09-19,Otros,Principal,3.25,,Furbo,Otros
2025-09,2025-09-17,Hosteleria,Cobee,6,,,Hosteleria
2025-09,2025-09-16,Hosteleria,Cobee,32.47,,Papa Johns,Hosteleria
2025-09,2025-09-16,Hosteleria,Cobee,0.9,Churros,,Hosteleria
2025-09,2025-09-14,Hosteleria,Cobee,11.47,,,Hosteleria
2025-09,2025-09-14,Hosteleria,Cobee,5.5,,,Hosteleria
2025-09,2025-09-14,Hosteleria,Cobee,7,,,Hosteleria
2025-09,2025-09-14,Alimentacion,Cobee,1,,,Alimentacion
2025-09,2025-09-13,Hosteleria,Principal,9.14,,,Hosteleria
2025-09,2025-09-13,Otros,Principal,4.95,,Farmacia ,Otros
2025-09,2025-09-12,Transporte,My Investor,561.48,,Seguro del coche,Transporte
2025-09,2025-09-11,Hosteleria,Principal,6,,,Hosteleria
2025-09,2025-09-09,Otros,Principal,4.5,,Cuadro de Marcos,Otros
2025-09,2025-09-07,Hosteleria,Principal,1.6,,,Hosteleria
2025-09,2025-09-06,Hosteleria,Cobee,1.7,,,Hosteleria
2025-09,2025-09-06,Hosteleria,Amex,11.07,,,Hosteleria
2025-09,2025-09-05,Transporte,Cobee,10,,,Transporte
2025-09,2025-09-05,Alimentacion,Cobee,1,,Pan,Alimentacion
2025-09,2025-09-05,Otros,Amex,12.95,,Bro,Otros
2025-09,2025-09-04,Hosteleria,Cobee,31.85,,,Hosteleria
2025-09,2025-09-03,Transporte,Principal,41.65,,,Transporte
2025-09,2025-09-03,Otros,Amex,110,,Dentista,Otros
2025-09,2025-09-02,Otros,Principal,6,,Abono plantas,Otros
2025-09,2025-09-01,Hosteleria,Cobee,61.29,,,Hosteleria
2025-09,2025-09-01,Otros,Cobee,76.58,Ingles,,Otros
2025-09,2025-09-01,Entretenimiento,Principal,33.2,,,Entretenimiento
2025-08,2025-08-31,Hosteleria,Cobee,17,,,Hosteleria
2025-08,2025-08-30,Hosteleria,Principal,23.79,,,Hosteleria
2025-08,2025-08-29,Entretenimiento,Principal,5.4,,Palomitas,Entretenimiento
2025-08,2025-08-28,Otros,Ahorro,70,,"Oposicion, este gasto no existe como tal, pero es el calculo entre domiciliaciones y pago de papa",Otros
2025-08,2025-08-28,Entretenimiento,Principal,27.4,,Cine en familia,Entretenimiento
2025-08,2025-08-28,Hosteleria,Cobee,9.35,,,Hosteleria
2025-08,2025-08-28,Alimentacion,Amex,13.18,,Compra día ,Alimentacion
2025-08,2025-08-28,Transporte,Amex,20,,Reparación rueda,Transporte
2025-08,2025-08-27,Alimentacion,Principal,17.11,,Bombona de butano ,Alimentacion
2025-08,2025-08-27,Hosteleria,Amex,4.51,,,Hosteleria
2025-08,2025-08-25,Otros,Amex,22.85,,Pintura papá y mamá ,Otros
2025-08,2025-08-25,Alimentacion,Principal,16.21,,Comida papá y mama,Alimentacion
2025-08,2025-08-24,Transporte,Principal,24.54,,,Transporte
2025-08,2025-08-18,Transporte,Principal,36.59,Vacaciones,,Transporte
2025-08,2025-08-15,Hosteleria,Principal,64,Vacaciones,Invitación barbacoa,Hosteleria
2025-08,2025-08-12,Hosteleria,Revolut,328.8,Vacaciones,,Hosteleria
2025-08,2025-08-11,Transporte,Revolut,40,Vacaciones,,Transporte
2025-08,2025-08-08,Entretenimiento,Amex,25,Vacaciones,Crucero,Entretenimiento
2025-08,2025-08-08,Transporte,Principal,41.06,Vacaciones,,Transporte
2025-08,2025-08-06,Hosteleria,Cobee,1.7,,Café papá,Hosteleria
2025-08,2025-08-05,Hosteleria,Cobee,33.8,Vacaciones,,Hosteleria
2025-08,2025-08-03,Transporte,Principal,39.1,Vacaciones,,Transporte
2025-08,2025-08-03,Hosteleria,Amex,18.2,Vacaciones,,Hosteleria
2025-08,2025-08-02,Hosteleria,Cobee,66.6,Vacaciones,,Hosteleria
2025-08,2025-08-01,Otros,Cobee,76.58,Ingles,,Otros
2025-08,2025-08-01,Hosteleria,Cobee,48.2,Vacaciones,,Hosteleria
2025-08,2025-08-01,Transporte,Principal,38.97,Vacaciones,,Transporte
2025-08,2025-08-01,Hosteleria,Cobee,46.32,Vacaciones,,Hosteleria
2025-07,2025-07-31,Otros,Principal,0.8,,Medicina espalda,Otros
2025-07,2025-07-30,Hosteleria,Principal,0.32,,Botella de agua,Hosteleria
2025-07,2025-07-30,Hosteleria,Cobee,1,,,Hosteleria
2025-07,2025-07-30,Hosteleria,Cobee,10.5,Vacaciones,,Hosteleria
2025-07,2025-07-30,Hosteleria,Cobee,10.5,,,Hosteleria
2025-07,2025-07-29,Transporte,Principal,66.29,,"Tasa de circulación del coche, se han descontado las convers",Transporte
2025-07,2025-07-28,Hosteleria,Cobee,1.5,Vacaciones,Botella de agua día de mi cumple,Hosteleria
2025-07,2025-07-28,Transporte,Cobee,10,Vacaciones,Abono transporte cumple,Transporte
2025-07,2025-07-28,Transporte,Cobee,9.41,Vacaciones,Bus Badajoz,Transporte
2025-07,2025-07-28,Hosteleria,Principal,70,Mi regalo,Cumpleaños Andrea,Regalos
2025-07,2025-07-28,Otros,Principal,70.55,,Oposiciones,Otros
2025-07,2025-07-27,Entretenimiento,Metálico,7,Vacaciones,Palas,Entretenimiento
2025-07,2025-07-27,Transporte,Principal,32.91,Vacaciones,,Transporte
2025-07,2025-07-26,Hosteleria,Amex,64.03,Vacaciones,,Hosteleria
2025-07,2025-07-25,Hosteleria,Cobee,40,Vacaciones,,Hosteleria
2025-07,2025-07-23,Hosteleria,Principal,13.7,Vacaciones,,Hosteleria
2025-07,2025-07-23,Hosteleria,Principal,13.7,,Pizzas cumple Javi,Hosteleria
2025-07,2025-07-22,Otros,Amex,12,Peluqueria,,Otros
2025-07,2025-07-22,Hosteleria,Amex,70.5,Vacaciones,Macro,Hosteleria
2025-07,2025-07-22,Hosteleria,Principal,5.52,,Cerveza master,Hosteleria
2025-07,2025-07-22,Transporte,Principal,56.33,Vacaciones,Gasolina,Transporte
2025-07,2025-07-22,Transporte,Principal,35.31,,Paralelo,Transporte
2025-07,2025-07-21,Otros,Cobee,0.9,,Papel de regalo ,Otros
2025-07,2025-07-21,Hosteleria,Cobee,34.02,,Cumpleaños Miguel Pablo y yo,Hosteleria
2025-07,2025-07-21,Otros,Metálico,30,,Fisio,Otros
2025-07,2025-07-20,Hosteleria,Cobee,5.2,,Cerveza con Álvaro ,Hosteleria
2025-07,2025-07-20,Otros,Principal,6.95,,Funda móvil ,Otros
2025-07,2025-07-19,Hosteleria,Principal,14.8,,,Hosteleria
2025-07,2025-07-19,Transporte,Principal,4,,Gasolina ,Transporte
2025-07,2025-07-18,Hosteleria,Cobee,31.85,,,Hosteleria
2025-07,2025-07-16,Hosteleria,Cobee,5.73,Vacaciones,,Hosteleria
2025-07,2025-07-16,Hosteleria,Cobee,5.74,,,Hosteleria
2025-07,2025-07-16,Hosteleria,Principal,3.8,Vacaciones,,Hosteleria
2025-07,2025-07-16,Hosteleria,Principal,3.8,,,Hosteleria
2025-07,2025-07-13,Entretenimiento,Principal,19,,Cine papá y mamá ,Entretenimiento
2025-07,2025-07-12,Alimentacion,Cobee,1,,Pan,Alimentacion
2025-07,2025-07-10,Entretenimiento,Principal,88,Vacaciones,,Entretenimiento
2025-07,2025-07-08,Hosteleria,Principal,12.9,,,Hosteleria
2025-07,2025-07-07,Transporte,Principal,263.87,,Revisión coche ,Transporte
2025-07,2025-07-06,Hosteleria,Cobee,21,,,Hosteleria
2025-07,2025-07-06,Hosteleria,Cobee,51.55,,,Hosteleria
2025-07,2025-07-05,Otros,Amex,15,Mi regalo,Juego ,Regalos
2025-07,2025-07-05,Hosteleria,Principal,32.32,,,Hosteleria
2025-07,2025-07-04,Hosteleria,Cobee,1.5,,Palace,Hosteleria
2025-07,2025-07-03,Transporte,Cobee,32.7,,Metro andres,Transporte
2025-07,2025-07-02,Transporte,Principal,9.7,,Parking kpmg ,Transporte
2025-07,2025-07-01,Otros,Cobee,76.58,Ingles,,Otros
2025-06,2025-06-30,Transporte,Cobee,9.1,,,Transporte
2025-06,2025-06-30,Hosteleria,Cobee,3.85,,,Hosteleria
2025-06,2025-06-30,Entretenimiento,Principal,16.19,Vacaciones,Viaje Torrevieja,Entretenimiento
2025-06,2025-06-29,Entretenimiento,Ahorro,66.15,Vacaciones,Viaje Torrevieja,Entretenimiento
2025-06,2025-06-26,Hosteleria,Principal,13.6,,Manolitos,Hosteleria
2025-06,2025-06-25,Hosteleria,Cobee,64.9,,Cena cumpleaños,Hosteleria
2025-06,2025-06-23,Hosteleria,Cobee,6,,,Hosteleria
2025-06,2025-06-23,Transporte,Cobee,8,,,Transporte
2025-06,2025-06-22,Hosteleria,Cobee,41.8,,,Hosteleria
2025-06,2025-06-22,Alimentacion,Principal,7.5,,Nachos,Alimentacion
2025-06,2025-06-21,Alimentacion,Cobee,6.23,,,Alimentacion
2025-06,2025-06-20,Hosteleria,Cobee,12,,,Hosteleria
2025-06,2025-06-20,Hosteleria,Principal,8.8,Kebab,,Hosteleria
2025-06,2025-06-20,Hosteleria,Principal,11,,,Hosteleria
2025-06,2025-06-18,Hosteleria,Principal,16.9,,,Hosteleria
2025-06,2025-06-14,Hosteleria,Cobee,23.75,,,Hosteleria
2025-06,2025-06-14,Hosteleria,Cobee,1.54,,,Hosteleria
2025-06,2025-06-14,Entretenimiento,Principal,7.9,,Cine,Entretenimiento
2025-06,2025-06-13,Entretenimiento,Principal,11.2,,Palomitas,Entretenimiento
2025-06,2025-06-12,Hosteleria,Cobee,6.55,Viaje trabajo,,Hosteleria
2025-06,2025-06-12,Hosteleria,Cobee,8.19,Viaje trabajo,,Hosteleria
2025-06,2025-06-12,Transporte,Principal,10.9,,Peaje Jaume ,Transporte
2025-06,2025-06-11,Hosteleria,Cobee,51.8,Viaje trabajo,,Hosteleria
2025-06,2025-06-11,Hosteleria,Cobee,8.19,Viaje trabajo,,Hosteleria
2025-06,2025-06-10,Hosteleria,Cobee,8.4,Viaje trabajo,,Hosteleria
2025-06,2025-06-10,Otros,Principal,176.46,Regalos,Regalo Papa,Otros
2025-06,2025-06-10,Hosteleria,Principal,13.7,Viaje trabajo,,Hosteleria
2025-06,2025-06-09,Transporte,Amex,99.39,,,Transporte
2025-06,2025-06-09,Transporte,Amex,141.04,,,Transporte
2025-06,2025-06-09,Hosteleria,Cobee,3.3,Viaje trabajo,Rosquilletas,Hosteleria
2025-06,2025-06-08,Otros,Principal,43,Regalos,Camisetas retro ,Otros
2025-06,2025-06-07,Transporte,Principal,46.55,,Gasolina ,Transporte
2025-06,2025-06-07,Transporte,Principal,3,,Lavar el coche ,Transporte
2025-06,2025-06-06,Hosteleria,Cobee,52.85,,,Hosteleria
2025-06,2025-06-04,Transporte,Cobee,41.66,,"Viaje a málaga, boda Luis",Transporte
2025-06,2025-06-03,Hosteleria,Principal,8,,Casa Jaume,Hosteleria
2025-06,2025-06-01,Otros,Cobee,76.58,Ingles,,Otros
2025-06,2025-06-01,Transporte,Ahorro,216,,,Transporte
2025-05,2025-05-31,Hosteleria,Cobee,14.47,,,Hosteleria
2025-05,2025-05-30,Hosteleria,Principal,12.7,,,Hosteleria
2025-05,2025-05-30,Otros,Principal,10,Peluqueria,,Otros
2025-05,2025-05-26,Transporte,Cobee,8,,,Transporte
2025-05,2025-05-24,Hosteleria,Cobee,3.6,,Palace,Hosteleria
2025-05,2025-05-24,Transporte,Principal,5,,,Transporte
2025-05,2025-05-23,Otros,Amex,75,,Converse mamá,Otros
2025-05,2025-05-23,Otros,Amex,45,,Regalo mama,Otros
2025-05,2025-05-23,Hosteleria,Principal,9.55,,,Hosteleria
2025-05,2025-05-22,Hosteleria,Cobee,17,,,Hosteleria
2025-05,2025-05-17,Hosteleria,Cobee,49.96,,,Hosteleria
2025-05,2025-05-16,Otros,Amex,14.99,,Liquido lentillas ,Otros
2025-05,2025-05-16,Hosteleria,Cobee,8,,,Hosteleria
2025-05,2025-05-15,Transporte,Principal,20,,Retrovisores ,Transporte
2025-05,2025-05-15,Otros,Principal,12.6,Regalos,Regalo Álvaro,Otros
2025-05,2025-05-15,Hosteleria,Cobee,1.4,,,Hosteleria
2025-05,2025-05-15,Hosteleria,Cobee,10.95,,,Hosteleria
2025-05,2025-05-14,Otros,Principal,5,Regalos,Regalo Daniel kpmg,Otros
2025-05,2025-05-14,Entretenimiento,Principal,5,,Apuesta,Entretenimiento
2025-05,2025-05-13,Transporte,Amex,47.95,,,Transporte
2025-05,2025-05-11,Hosteleria,Principal,3.25,,,Hosteleria
2025-05,2025-05-10,Hosteleria,Metálico,44.5,Kebab,,Hosteleria
2025-05,2025-05-10,Entretenimiento,Principal,20,,Camiseta de España ,Entretenimiento
2025-05,2025-05-10,Entretenimiento,Principal,94,,Concierto bad Bunny 2,Entretenimiento
2025-05,2025-05-10,Otros,Ahorro,9.95,,,Otros
2025-05,2025-05-09,Hosteleria,Cobee,14.55,,,Hosteleria
2025-05,2025-05-09,Entretenimiento,Principal,96,,Concierto bad Bunny 1,Entretenimiento
2025-04,2025-04-30,Hosteleria,Principal,16.45,,Indio,Hosteleria
2025-04,2025-04-30,Hosteleria,Principal,20,,Italiano ,Hosteleria
2025-04,2025-04-30,Hosteleria,Cobee,14.4,,,Hosteleria
2025-04,2025-04-27,Alimentacion,Cobee,2,,,Alimentacion
2025-04,2025-04-26,Hosteleria,Principal,9,,Casa Javi,Hosteleria
2025-04,2025-04-25,Hosteleria,Ahorro,10,,,Hosteleria
2025-04,2025-04-25,Otros,Principal,10,Regalos,Regalo Pablo Marquesi,Otros
2025-04,2025-04-24,Hosteleria,Ahorro,24.74,,,Hosteleria
2025-04,2025-04-24,Hosteleria,Cobee,10,,,Hosteleria
2025-04,2025-04-22,Transporte,Cobee,8,,,Transporte
2025-04,2025-04-20,Transporte,Principal,17.85,,Aparcamiento ,Transporte
2025-04,2025-04-20,Hosteleria,Cobee,43,,,Hosteleria
2025-04,2025-04-19,Hosteleria,Cobee,23.75,,,Hosteleria
2025-04,2025-04-15,Hosteleria,Cobee,15.6,,"Desayuno en familia, invitación migas",Hosteleria
2025-04,2025-04-14,Entretenimiento,Principal,199,Vacaciones,"Viaje con los de la uni, la parte de Andrea y mia",Entretenimiento
2025-04,2025-04-11,Hosteleria,Cobee,34.3,,,Hosteleria
2025-04,2025-04-10,Hosteleria,Cobee,12,,Cerveza con los del máster,Hosteleria
2025-04,2025-04-09,Hosteleria,Cobee,13.3,,Rincón del tapeo ,Hosteleria
2025-04,2025-04-09,Hosteleria,Cobee,20.9,Kebab,Kebab con mi hermano ,Hosteleria
2025-04,2025-04-08,Hosteleria,Principal,19.9,,Real Madrid Arsenal,Hosteleria
2025-04,2025-04-06,Entretenimiento,Principal,8,,Visita cuevas,Entretenimiento
2025-04,2025-04-05,Hosteleria,Cobee,6,Kebab,,Hosteleria
2025-04,2025-04-05,Hosteleria,Cobee,5,,,Hosteleria
2025-04,2025-04-04,Transporte,Principal,5.75,,Uber,Transporte
2025-04,2025-04-03,Hosteleria,Cobee,36.86,,,Hosteleria
2025-04,2025-04-03,Entretenimiento,Principal,22.6,,,Entretenimiento
2025-03,2025-03-31,Otros,Principal,12,Peluqueria,,Otros
2025-03,2025-03-30,Transporte,Metálico,2,,Limpiar el coche,Transporte
2025-03,2025-03-30,Hosteleria,Principal,8,,100mon,Hosteleria
2025-03,2025-03-29,Hosteleria,Principal,16.55,,,Hosteleria
2025-03,2025-03-28,Hosteleria,Principal,10,,,Hosteleria
2025-03,2025-03-27,Hosteleria,Principal,7,,,Hosteleria
2025-03,2025-03-25,Transporte,Cobee,8,,,Transporte
2025-03,2025-03-23,Alimentacion,Cobee,0.9,,Pan,Alimentacion
2025-03,2025-03-23,Transporte,Principal,15,,Extra maleta,Transporte
2025-03,2025-03-23,Hosteleria,Principal,55.8,,Voltereta kioto,Hosteleria
2025-03,2025-03-22,Entretenimiento,Principal,4,,Bolera,Entretenimiento
2025-03,2025-03-22,Hosteleria,Principal,2.16,,Gastos extras de deudas bolera,Hosteleria
2025-03,2025-03-22,Hosteleria,Ahorro,12,,,Hosteleria
2025-03,2025-03-22,Hosteleria,Principal,14,,"Asai, 8,5 y zumo 5.5",Hosteleria
2025-03,2025-03-22,Hosteleria,Principal,10.4,Churros,,Hosteleria
2025-03,2025-03-22,Hosteleria,Cobee,22.25,,,Hosteleria
2025-03,2025-03-21,Hosteleria,Cobee,5,,Desayuno,Hosteleria
2025-03,2025-03-20,Hosteleria,Cobee,19.2,,Esmorzar,Hosteleria
2025-03,2025-03-20,Alimentacion,Principal,30.23,,Nachos y carbonara,Alimentacion
2025-03,2025-03-19,Hosteleria,Cobee,7,Kebab,,Hosteleria
2025-03,2025-03-19,Alimentacion,Principal,12.06,,,Alimentacion
2025-03,2025-03-18,Entretenimiento,Cobee,10.25,,,Entretenimiento
2025-03,2025-03-18,Hosteleria,Cobee,18,Churros,,Hosteleria
2025-03,2025-03-18,Hosteleria,Cobee,2,Churros,,Hosteleria
2025-03,2025-03-17,Hosteleria,Cobee,12,,Salchipapas y cerveza,Hosteleria
2025-03,2025-03-17,Transporte,Cobee,6,,,Transporte
2025-03,2025-03-16,Hosteleria,Cobee,18,,,Hosteleria
2025-03,2025-03-16,Hosteleria,Cobee,8,,,Hosteleria
2025-03,2025-03-16,Hosteleria,Cobee,11,Kebab,,Hosteleria
2025-03,2025-03-16,Hosteleria,Cobee,8,,,Hosteleria
2025-03,2025-03-16,Otros,Principal,25.9,,Locker,Otros
2025-03,2025-03-16,Otros,Principal,0.88,,Locker extra,Otros
2025-03,2025-03-14,Hosteleria,Cobee,11.5,,100mon,Hosteleria
2025-03,2025-03-14,Hosteleria,Principal,5.65,,,Hosteleria
